"alminium",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"0","-0.03973643","0","0"
"0.01","-0.03973643","1.041667E-05","7.629395E-05"
"0.02","-0.03973643","7.291666E-05","0.000213623"
"0.03","-0.03973643","0.0003020833","0.000213623"
"0.04","-0.03973643","0.0006354167","0.0003814697"
"0.05","-0.03973643","0.001020833","0.0005264282"
"0.06","-0.03973643","0.001458333","0.0005264282"
"0.07","-0.03973643","0.00190625","0.0006332397"
"0.08","-0.03973643","0.002385417","0.0006332397"
"0.09","-0.03973643","0.002864583","0.0007095337"
"0.1","-0.03973643","0.00334375","0.000743866"
"0.11","-0.03973643","0.00384375","0.000743866"
"0.12","-0.03973643","0.004333333","0.000705719"
"0.13","-0.03973643","0.004822917","0.000705719"
"0.14","-0.03973643","0.005291667","0.0006408691"
"0.15","-0.03973643","0.00575","0.000667572"
"0.16","-0.03973643","0.006229166","0.000667572"
"0.17","-0.03973643","0.006729166","0.0008544922"
"0.18","-0.03973643","0.007239583","0.00113678"
"0.19","-0.03973643","0.00775","0.00113678"
"0.2","-0.03973643","0.008229166","0.001335144"
"0.21","-0.03973643","0.008708334","0.001335144"
"0.22","-0.03973643","0.009197917","0.00138092"
"0.23","-0.03973643","0.009708333","0.00138092"
"0.24","-0.03973643","0.01022917","0.001319885"
"0.25","-0.03973643","0.01075","0.001285553"
"0.26","-0.03973643","0.01127083","0.001285553"
"0.27","-0.03973643","0.01179167","0.001285553"
"0.28","-0.03973643","0.0123125","0.001335144"
"0.29","-0.03973643","0.01282292","0.001335144"
"0.3","-0.03973643","0.01332292","0.001464844"
"0.31","-0.03973643","0.01382292","0.001628876"
"0.32","-0.03973643","0.0143125","0.001628876"
"0.33","-0.03973643","0.0148125","0.001693726"
"0.34","0.3814697","0.0153125","0.001693726"
"0.35","3.616015","0.0158125","0.001571655"
"0.36","4.18822","0.0163125","0.001358032"
"0.37","4.776319","0.0168125","0.001358032"
"0.38","5.443891","0.0173125","0.001186371"
"0.39","6.095568","0.0178125","0.001186371"
"0.4","6.508827","0.01832292","0.001113892"
"0.41","7.152557","0.01882292","0.001091003"
"0.42","7.796288","0.01932292","0.001091003"
"0.43","8.320808","0.01982292","0.001087189"
"0.44","9.266536","0.02033333","0.00113678"
"0.45","10.17253","0.02084375","0.00113678"
"0.46","11.34078","0.02134375","0.001266479"
"0.47","12.6044","0.02185417","0.001266479"
"0.48","14.09054","0.02235417","0.001522064"
"0.49","15.10779","0.02285417","0.001834869"
"0.5","16.60983","0.02335417","0.001834869"
"0.51","18.20723","0.02384375","0.002052307"
"0.52","19.78079","0.02434375","0.002025604"
"0.53","21.6802","0.02484375","0.002025604"
"0.54","23.38091","0.02533333","0.001739502"
"0.55","24.48559","0.02583333","0.001739502"
"0.56","26.42473","0.02633333","0.001308441"
"0.57","27.89497","0.02683333","0.0008430481"
"0.58","30.00895","0.02733333","0.0008430481"
"0.59","31.77325","0.02784375","0.0004234314"
"0.6","33.62497","0.02833333","0.000164032"
"0.61","35.36542","0.02883333","0.000164032"
"0.62","36.98667","0.02933333","0.0002059937"
"0.63","38.82249","0.02983333","0.0002059937"
"0.64","40.34042","0.03033333","0.0005569458"
"0.65","42.26367","0.03083333","0.001060486"
"0.66","43.95644","0.03134375","0.001060486"
"0.67","45.77637","0.03184375","0.001525879"
"0.68","47.85061","0.03234375","0.001838684"
"0.69","50.17916","0.03284375","0.001838684"
"0.7","51.6812","0.03334375","0.002010345"
"0.71","53.35013","0.03384375","0.002010345"
"0.72","55.09059","0.03433333","0.002132416"
"0.73","57.20456","0.03483333","0.002323151"
"0.74","59.0086","0.03532292","0.002323151"
"0.75","61.20205","0.03582292","0.002593994"
"0.76","63.08556","0.0363125","0.002735138"
"0.77","65.22337","0.0368125","0.002735138"
"0.78","67.3612","0.0373125","0.00258255"
"0.79","69.38776","0.0378125","0.00258255"
"0.8","71.77194","0.03832292","0.002151489"
"0.81","74.46607","0.0388125","0.00163269"
"0.82","76.26215","0.03932292","0.00163269"
"0.83","78.41587","0.03982292","0.001247406"
"0.84","80.47422","0.04032291","0.001102448"
"0.85","82.92198","0.04083333","0.001102448"
"0.86","85.0757","0.04134375","0.001232147"
"0.87","87.47578","0.04184375","0.001232147"
"0.88","89.7646","0.04235417","0.001579285"
"0.89","91.87063","0.04285417","0.00201416"
"0.9","94.42171","0.04335416","0.00201416"
"0.91","96.94099","0.04385417","0.002403259"
"0.92","99.2457","0.04435417","0.002674103"
"0.93","101.5027","0.04484375","0.002674103"
"0.94","103.9664","0.04534375","0.002880096"
"0.95","106.1996","0.04584375","0.002880096"
"0.96","108.6632","0.04633333","0.003093719"
"0.97","111.3653","0.04684375","0.003360748"
"0.98","114.0594","0.04734375","0.003360748"
"0.99","116.1178","0.04784375","0.003692627"
"1","118.5576","0.04834375","0.004077911"
"1.01","121.1405","0.04884375","0.004077911"
"1.02","123.93","0.04934375","0.004535675"
"1.03","126.8069","0.04984375","0.004535675"
"1.04","129.2865","0.05034375","0.005027771"
"1.05","131.615","0.05084375","0.005554199"
"1.06","134.1104","0.05134375","0.005554199"
"1.07","136.9556","0.05185417","0.006084442"
"1.08","139.5067","0.05235416","0.006084442"
"1.09","142.4233","0.05285417","0.006565094"
"1.1","145.2208","0.05335417","0.006961823"
"1.11","148.0977","0.05385417","0.006961823"
"1.12","150.7997","0.05435416","0.007259369"
"1.13","153.2634","0.05484375","0.007472992"
"1.14","155.8383","0.05533333","0.007472992"
"1.15","158.755","0.05582292","0.007610321"
"1.16","161.3299","0.05632292","0.007610321"
"1.17","164.183","0.0568125","0.007717133"
"1.18","166.8851","0.0573125","0.007900238"
"1.19","169.4918","0.0578125","0.007900238"
"1.2","172.2256","0.0583125","0.008232117"
"1.21","175.3171","0.0588125","0.008686066"
"1.22","178.2656","0.0593125","0.008686066"
"1.23","180.4908","0.0598125","0.009212494"
"1.24","183.1134","0.0603125","0.009212494"
"1.25","186.3241","0.0608125","0.009746552"
"1.26","189.0103","0.06132292","0.01020813"
"1.27","191.8236","0.06182292","0.01020813"
"1.28","194.9231","0.06233333","0.01050186"
"1.29","197.2914","0.06284375","0.01063156"
"1.3","200.3829","0.06334375","0.01063156"
"1.31","203.3313","0.06385417","0.010746"
"1.32","206.55","0.06435417","0.010746"
"1.33","209.1885","0.06485417","0.01097107"
"1.34","212.2005","0.06535417","0.01128387"
"1.35","214.9264","0.06584375","0.01128387"
"1.36","217.5252","0.06634375","0.01159668"
"1.37","220.4657","0.06684375","0.01187515"
"1.38","223.5572","0.06733333","0.01187515"
"1.39","226.2592","0.06784375","0.01214981"
"1.4","228.8659","0.06834375","0.01214981"
"1.41","231.5998","0.06884375","0.0124588"
"1.42","234.6436","0.06934375","0.01281357"
"1.43","238.0292","0.06984375","0.01281357"
"1.44","241.0332","0.07034375","0.01324081"
"1.45","244.0373","0.07084375","0.01371002"
"1.46","246.5089","0.07134375","0.01371002"
"1.47","249.4017","0.07184375","0.01413345"
"1.48","252.2151","0.07235417","0.01413345"
"1.49","255.3781","0.07285417","0.01450729"
"1.5","258.0961","0.07335416","0.01494217"
"1.51","261.418","0.07386458","0.01494217"
"1.52","264.3506","0.07436458","0.01550674"
"1.53","267.2593","0.07485417","0.01550674"
"1.54","269.9932","0.07535417","0.01612473"
"1.55","272.6952","0.07585417","0.0166626"
"1.56","275.8423","0.07634375","0.0166626"
"1.57","279.0292","0.07683333","0.01704788"
"1.58","281.3896","0.07732292","0.01735306"
"1.59","284.0837","0.07782292","0.01735306"
"1.6","286.9368","0.07832292","0.01735306"
