"SS400_3",,,
"時間","試験力","ストローク","変位計1"
"sec","N","mm","mm"
"0","0.07947286","0","0"
"0.01","0.07947286","2.083333E-05","0"
"0.02","0.07947286","0.0001041667","-5.722046E-05"
"0.03","0.07947286","0.0003229167","-0.0001068115"
"0.04","0.07947286","0.0006041666","-0.0001068115"
"0.05","0.07947286","0.0009479166","-0.0001487732"
"0.06","0.07947286","0.001354167","-0.0002212524"
"0.07","0.07947286","0.0018125","-0.0002212524"
"0.08","0.07947286","0.002291667","-0.0003433228"
"0.09","0.07947286","0.002791667","-0.0003433228"
"0.1","0.07947286","0.003291667","-0.0004997253"
"0.11","0.07947286","0.003802083","-0.0006370544"
"0.12","0.07947286","0.0043125","-0.0006370544"
"0.13","0.07947286","0.0048125","-0.0007209778"
"0.14","0.07947286","0.005322916","-0.0007209778"
"0.15","2.670288","0.005822917","-0.0007209778"
"0.16","4.760424","0.006333333","-0.0006103516"
"0.17","5.65052","0.006833333","-0.0006103516"
"0.18","6.612142","0.00734375","-0.0003662109"
"0.19","6.818771","0.00784375","-1.907349E-05"
"0.2","7.677078","0.008354167","-1.907349E-05"
"0.21","8.55128","0.008864583","0.0003700256"
"0.22","9.648005","0.009364584","0.0007629395"
"0.23","11.03083","0.009864584","0.0007629395"
"0.24","11.45999","0.01036458","0.001140594"
"0.25","12.19114","0.01085417","0.001140594"
"0.26","12.64413","0.01135417","0.001480103"
"0.27","13.83622","0.01184375","0.001792908"
"0.28","14.74222","0.01234375","0.001792908"
"0.29","15.47337","0.01284375","0.002101898"
"0.3","17.26945","0.01334375","0.002418518"
"0.31","18.8907","0.01384375","0.002418518"
"0.32","20.38479","0.01434375","0.002731323"
"0.33","22.46698","0.01484375","0.002731323"
"0.34","24.28691","0.01534375","0.002998352"
"0.35","26.29757","0.01584375","0.00320816"
"0.36","28.46718","0.01634375","0.00320816"
"0.37","30.7401","0.01684375","0.003387451"
"0.38","32.09909","0.01734375","0.003559113"
"0.39","33.94286","0.01784375","0.003559113"
"0.4","36.56546","0.01834375","0.003753662"
"0.41","39.00528","0.01884375","0.003753662"
"0.42","41.27026","0.01935417","0.004005432"
"0.43","42.99482","0.01985417","0.004360199"
"0.44","45.06906","0.02035417","0.004360199"
"0.45","47.64398","0.02084375","0.004852295"
"0.46","50.02816","0.02134375","0.005500793"
"0.47","52.23751","0.02183333","0.005500793"
"0.48","54.66143","0.02232292","0.006290436"
"0.49","56.97409","0.02282292","0.006290436"
"0.5","59.49338","0.02332292","0.007133484"
"0.51","62.21135","0.02382292","0.007892609"
"0.52","64.81806","0.0243125","0.007892609"
"0.53","67.13072","0.0248125","0.008495331"
"0.54","69.44338","0.02532292","0.008495331"
"0.55","71.71631","0.02582292","0.008972168"
"0.56","74.44223","0.02632292","0.009418488"
"0.57","77.2953","0.02682292","0.009418488"
"0.58","80.0848","0.02732292","0.00989151"
"0.59","82.76304","0.02783333","0.01037979"
"0.6","84.88496","0.02833333","0.01037979"
"0.61","87.6983","0.02884375","0.0108223"
"0.62","91.12358","0.02934375","0.0108223"
"0.63","93.58724","0.02985417","0.0112381"
"0.64","96.29726","0.03036458","0.01167297"
"0.65","99.37286","0.03086458","0.01167297"
"0.66","102.3769","0.03135417","0.01218796"
"0.67","105.4525","0.03185417","0.01277161"
"0.68","108.0513","0.03234375","0.01277161"
"0.69","111.0951","0.03284375","0.01338577"
"0.7","114.2979","0.03334375","0.01338577"
"0.71","117.143","0.03384375","0.01396942"
"0.72","120.0358","0.03434375","0.01450348"
"0.73","123.1591","0.03484375","0.01450348"
"0.74","126.2983","0.03534375","0.01507187"
"0.75","129.3023","0.03584375","0.01507187"
"0.76","132.3779","0.03634375","0.01507187"
"0.77","135.4853","0.03684375","0.01597977"
"0.78","138.6007","0.03734375","0.01597977"
"0.79","141.2233","0.03784375","0.01776505"
"0.8","144.1638","0.03834375","0.02091599"
"0.81","147.1281","0.03884375","0.02091599"
"0.82","149.9017","0.03935417","0.02533722"
"0.83","153.2714","0.03985417","0.02533722"
"0.84","156.943","0.04035417","0.03025818"
"0.85","160.2729","0.04085417","0.03479385"
"0.86","163.1578","0.04135416","0.03479385"
"0.87","166.3288","0.04184375","0.0384903"
